seed,arm,step,return,reach_rate,mean_abs_action,sat_frac,p95_abs_action
0,baseline,2500,-193.95454545454547,0.11363636363636363,0.0364268305208355,0.0,0.08272649347782134
0,baseline,5000,-154.1818181818182,0.45454545454545453,0.052021522215514815,0.0,0.21324477195739738
0,baseline,7500,-154.47727272727272,0.5681818181818182,0.050741153665197165,0.0,0.34647026062011715
0,baseline,10000,-127.45454545454545,0.7954545454545454,0.062154905304589045,0.008737517831669045,0.44807242751121457
0,baseline,12500,-93.86363636363636,0.75,0.14550936978319368,0.0486682808716707,0.8971310973167419
0,baseline,15000,-88.6590909090909,0.6818181818181818,0.18038959125468926,0.06972571135606255,0.9534033536911011
0,baseline,17500,-78.36363636363636,0.7272727272727273,0.2518658172814586,0.08613689095127611,0.9724767833948135
0,baseline,20000,-66.43181818181819,0.7954545454545454,0.3222322992539512,0.1861101607937051,0.9893032729625701
0,baseline,22500,-37.72727272727273,0.9772727272727273,0.5639754394091756,0.3313253012048193,0.97877197265625
0,baseline,25000,-34.63636363636363,1.0,0.641765844947084,0.32086614173228345,0.9701950252056122
0,baseline,27500,-32.18181818181818,1.0,0.6835126008859462,0.3199152542372881,0.9645158648490906
0,baseline,30000,-32.18181818181818,1.0,0.6654252021831307,0.2895480225988701,0.9631834477186203
0,baseline,32500,-31.09090909090909,1.0,0.6844908026488203,0.29239766081871343,0.9636552423238752
0,baseline,35000,-31.65909090909091,1.0,0.6283517065274142,0.26274228284278534,0.9654255986213683
0,baseline,37500,-31.636363636363637,1.0,0.6655775079096871,0.31896551724137934,0.9657844305038452
0,baseline,40000,-31.522727272727273,1.0,0.6743618747959398,0.2617159336697909,0.9650319218635559
1,baseline,2500,-188.4318181818182,0.11363636363636363,0.037546183120900994,0.0,0.09146836400032043
1,baseline,5000,-166.1590909090909,0.3409090909090909,0.042123735480947055,0.0,0.24923938512802124
1,baseline,7500,-154.4090909090909,0.4090909090909091,0.04348079422869892,0.0019134530468060053,0.36111356616020157
1,baseline,10000,-146.97727272727272,0.45454545454545453,0.04525309932901038,0.0063398793876604295,0.3844936370849601
1,baseline,12500,-118.02272727272727,0.5681818181818182,0.0690256538199203,0.014442518775274409,0.5025348305702203
1,baseline,15000,-124.5,0.45454545454545453,0.25812824313637983,0.1411098941219423,0.9997677683830262
1,baseline,17500,-68.8409090909091,0.7727272727272727,0.22761220029180457,0.11059755694948828,0.9738117933273316
1,baseline,20000,-49.40909090909091,0.9545454545454546,0.3230039605934245,0.14765409383624656,0.9766713857650756
1,baseline,22500,-48.77272727272727,1.0,0.31506689374733504,0.16076421248835043,0.9715587049722672
1,baseline,25000,-45.86363636363637,1.0,0.3628226611670937,0.1838453914767096,0.968264251947403
1,baseline,27500,-36.15909090909091,1.0,0.532037957107249,0.25204274041483343,0.9709728360176086
1,baseline,30000,-31.5,1.0,0.7780700867826288,0.4595959595959596,0.978659987449646
1,baseline,32500,-31.818181818181817,1.0,0.6285075118286269,0.3092857142857143,0.9713699460029602
1,baseline,35000,-30.59090909090909,1.0,0.6807997244428207,0.30683506686478457,0.97359699010849
1,baseline,37500,-34.56818181818182,1.0,0.5564962037294653,0.2971729125575279,0.974658191204071
1,baseline,40000,-29.977272727272727,1.0,0.7277241007589408,0.3730098559514784,0.9743832468986511
2,baseline,2500,-183.13636363636363,0.1590909090909091,0.03714854372852521,0.0,0.10839899480342863
2,baseline,5000,-176.04545454545453,0.1590909090909091,0.03779277578669557,0.0,0.2605586051940918
2,baseline,7500,-166.5681818181818,0.29545454545454547,0.03891754584677435,0.0,0.34076490402221643
2,baseline,10000,-143.4318181818182,0.5909090909090909,0.049243369328769784,0.006021232768182538,0.3648965060710907
2,baseline,12500,-85.25,0.7727272727272727,0.1640206636730368,0.05465209277525993,0.9158172309398651
2,baseline,15000,-78.63636363636364,0.7272727272727273,0.18403523178458903,0.06329479768786127,0.9264573097229003
2,baseline,17500,-50.11363636363637,0.9090909090909091,0.4030766951253895,0.2399092970521542,0.9901189684867858
2,baseline,20000,-34.86363636363637,1.0,0.6326256174074469,0.3833116036505867,0.986702424287796
2,baseline,22500,-32.15909090909091,1.0,0.6769868261822543,0.44734982332155476,0.9770894944667816
2,baseline,25000,-30.681818181818183,1.0,0.7465546676406154,0.5051851851851852,0.9832296729087829
2,baseline,27500,-29.227272727272727,1.0,0.7949284025428826,0.5062208398133748,0.9803735464811325
2,baseline,30000,-31.272727272727273,1.0,0.7323789415491182,0.37209302325581395,0.9660545587539673
2,baseline,32500,-29.613636363636363,1.0,0.7855121765059868,0.4474290099769762,0.9758762300014495
2,baseline,35000,-29.34090909090909,1.0,0.7830140190841061,0.5251742835011619,0.9824323654174805
2,baseline,37500,-29.0,1.0,0.8216331018175824,0.47492163009404387,0.9832142889499664
